pais,ciudad,titulo,descripcion,fecha_inicio,fecha_fin,requisitos,gastos_cubiertos,contacto,enlace,deadline
Alemania,Hamburgo,Digital Inclusion & Youth Empowerment,"This hands-on camp trains youth in programming, digital tools, and app creation, culminating in team projects tackling local challenges.",2025-08-25,2025-09-06,Memory challenge lawyer business majority discuss wall.,Sí,rojasmaria@gregory-stanton.biz,https://www.howell-davis.com/,2025-07-29
Australia,Sídney,Code&Create: Digital Makers Camp,"This hands-on camp trains youth in programming, digital tools, and app creation, culminating in team projects tackling local challenges.",2025-05-17,2025-05-31,Should society dark product make energy gas.,Sí,ewingnicole@reyes.biz,https://johnson.com/,2025-04-02
India,Mumbai,Erasmus+ Science Connect,"A collaborative exchange for young science enthusiasts to conduct small research projects, visit labs, and develop scientific thinking with peers across Europe.",2025-05-13,2025-05-27,Man care resource maintain.,Sí,rkeller@armstrong.net,http://simpson-arellano.org/,2025-03-30
EEUU,Nueva York,EcoVolunteers: Nature Needs You,"This project focuses on ecological sustainability through hands-on activities like reforestation, zero-waste workshops, and local activism for environmental protection.",2025-08-20,2025-08-28,Short expect article opportunity campaign hand.,Sí,oscar65@jenkins-brown.com,http://www.collins.com/,2025-08-03
México,Guadalajara,Festivals without Borders,"An exploration of European cultural heritage, this exchange includes folk activities, culinary workshops, and immersive storytelling from different regions.",2025-07-28,2025-08-09,Front after for leave.,Sí,sadams@yahoo.com,http://hudson-morris.com/,2025-06-23
Francia,Lyon,Resilience Lab: Coping Together,"Focuses on self-awareness, group dynamics, and emotional intelligence through guided sessions, creative expression, and peer support circles.",2025-06-10,2025-06-23,Beyond push from me share fund pass.,Sí,oharris@gmail.com,http://williams-davies.biz/,2025-04-29
Argentina,Buenos Aires,MediaMakers: Erasmus+ for Journalism and Truth,"Participants will produce their own podcasts, video reports, and social media campaigns focused on truth, representation, and inclusion in the digital age.",2025-05-31,2025-06-10,Person when response official option.,Sí,knightamanda@yahoo.com,http://pearson.net/,2025-05-09
Francia,Lyon,Lab Explorers: Youth in Innovation,"A collaborative exchange for young science enthusiasts to conduct small research projects, visit labs, and develop scientific thinking with peers across Europe.",2025-07-30,2025-08-06,Item music customer I person.,Sí,nicoleburton@hotmail.com,http://guerrero.info/,2025-07-01
Polonia,Gdansk,Sound of Cultures: Music Beyond Borders,"Participants will explore cultural identity through music by composing, performing, and collaborating across genres in a multicultural setting.",2025-05-06,2025-05-17,View mouth pass shoulder its.,Sí,michaelhernandez@francis.biz,https://walters.com/,2025-03-27
Alemania,Hamburgo,Civic Tales: Storytelling for Intercultural Dialogue,"An exploration of European cultural heritage, this exchange includes folk activities, culinary workshops, and immersive storytelling from different regions.",2025-06-25,2025-07-03,Position either over image box.,Sí,sanchezmargaret@washington-esparza.biz,http://www.nelson.com/,2025-06-03
Brasil,Río de Janeiro,Youth Lens: Film & Communication Exchange,"Participants will produce their own podcasts, video reports, and social media campaigns focused on truth, representation, and inclusion in the digital age.",2025-08-10,2025-08-18,Probably compare system white magazine.,Sí,heathchristopher@evans.com,http://cameron.net/,2025-07-21
Polonia,Varsovia,Digital Storytelling & Social Change,"Participants will produce their own podcasts, video reports, and social media campaigns focused on truth, representation, and inclusion in the digital age.",2025-07-19,2025-07-28,Miss stock wear use.,Sí,pwilkerson@hotmail.com,http://collier-mclaughlin.com/,2025-06-19
India,Delhi,Digital Pioneers Erasmus+ Lab,"Designed for young changemakers, this program includes workshops on design thinking, startup incubation, and project development with a global impact.",2025-07-21,2025-07-31,Design blood degree ever impact television.,Sí,sferguson@stewart.info,http://cox.com/,2025-06-22
